AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,pass_percent,,,,,
2020,162,7,ESCUELA SIBAYA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,0.904761905,,,,,
2020,165,1,ESCUELA CHUSMIZA,1,TPCA,14,1404,HUARA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,167,8,ESCUELA CAMINA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,0.974789916,,,,,
2020,168,6,ESCUELA CUISAMA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,0.5,,,,,
2020,169,4,ESCUELA QUISTAGAMA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,170,8,ESCUELA NAMA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,0.75,,,,,
2020,171,6,ESCUELA APAMILCA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,172,4,ESCUELA CHAPIQUILTA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,0.833333333,,,,,
2020,173,2,ESCUELA MOQUELLA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,174,0,ESCUELA FRANCIA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,175,9,ESCUELA YALA YALA,1,TPCA,14,1402,CAMIÑA,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,177,5,ESCUELA BASICA CARIQUIMA,1,TPCA,14,1403,COLCHANE,11,IQUIQUE,2,1,1,1,110,2,1,,,,,
2020,178,3,LICEO TECNICO PROFESIONAL COLCHANE,1,TPCA,14,1403,COLCHANE,11,IQUIQUE,2,1,1,1,110,2,0.977272727,,,,,
2020,178,3,LICEO TECNICO PROFESIONAL COLCHANE,1,TPCA,14,1403,COLCHANE,11,IQUIQUE,2,1,1,1,310,5,1,,,,,
